file,model,def_model,poison_rate,target,blur_type,threshold,csv_poison_count,num_train,prune_ratio_opt,num_channels,num_pruned,ATA,ASR,ATA_podada_sin_ft,ASR_podada_sin_ft,ATA_def,ASR_def
gtsrb-sub18-pois-10-t7-mb21a45-th140.h5,best_model_gtsrb-sub18-pois-10-t7-mb21a45-th140.h5.pth,best_model_gtsrb-sub18-pois-10-t7-mb21a45-th140.h5_finepruned_25.pth,10,7,mb21a45,140,1800,18000,0.25,512,128,0.903921568627451,0.02263888888888889,0.8913725490196078,0.004861111111111111,0.9826143790849673,0.0006944444444444445
gtsrb-sub18-pois-10-t7-mb21a45-th160.h5,best_model_gtsrb-sub18-pois-10-t7-mb21a45-th160.h5.pth,best_model_gtsrb-sub18-pois-10-t7-mb21a45-th160.h5_finepruned_25.pth,10,7,mb21a45,160,1800,18000,0.25,512,128,0.9592156862745098,0.08666666666666667,0.9547712418300653,0.050416666666666665,0.9781699346405229,0.0001388888888888889
gtsrb-sub18-pois-10-t7-mb21a45-th180.h5,best_model_gtsrb-sub18-pois-10-t7-mb21a45-th180.h5.pth,best_model_gtsrb-sub18-pois-10-t7-mb21a45-th180.h5_finepruned_25.pth,10,7,mb21a45,180,1800,18000,0.25,512,128,0.9534640522875817,0.05236111111111111,0.9466666666666667,0.03277777777777778,0.9844444444444445,0.0
gtsrb-sub18-pois-20-t7-mb21a45-th140.h5,best_model_gtsrb-sub18-pois-20-t7-mb21a45-th140.h5.pth,best_model_gtsrb-sub18-pois-20-t7-mb21a45-th140.h5_finepruned_25.pth,20,7,mb21a45,140,3600,18000,0.25,512,128,0.9030065359477124,0.3698611111111111,0.8901960784313725,0.2063888888888889,0.9883660130718954,0.0011111111111111111
gtsrb-sub18-pois-20-t7-mb21a45-th160.h5,best_model_gtsrb-sub18-pois-20-t7-mb21a45-th160.h5.pth,best_model_gtsrb-sub18-pois-20-t7-mb21a45-th160.h5_finepruned_25.pth,20,7,mb21a45,160,3600,18000,0.25,512,128,0.8247058823529412,0.12444444444444444,0.7973856209150327,0.07402777777777778,0.9816993464052287,0.002638888888888889
gtsrb-sub18-pois-20-t7-mb21a45-th180.h5,best_model_gtsrb-sub18-pois-20-t7-mb21a45-th180.h5.pth,best_model_gtsrb-sub18-pois-20-t7-mb21a45-th180.h5_finepruned_25.pth,20,7,mb21a45,180,3600,18000,0.25,512,128,0.9447058823529412,0.01597222222222222,0.9367320261437908,0.001388888888888889,0.9866666666666667,0.004583333333333333
gtsrb-sub18-pois-3-t7-mb21a45-th140.h5,best_model_gtsrb-sub18-pois-3-t7-mb21a45-th140.h5.pth,best_model_gtsrb-sub18-pois-3-t7-mb21a45-th140.h5_finepruned_25.pth,3,7,mb21a45,140,540,18000,0.25,512,128,0.8407843137254902,0.004027777777777778,0.8130718954248366,0.00125,0.9700653594771241,0.04486111111111111
gtsrb-sub18-pois-3-t7-mb21a45-th160.h5,best_model_gtsrb-sub18-pois-3-t7-mb21a45-th160.h5.pth,best_model_gtsrb-sub18-pois-3-t7-mb21a45-th160.h5_finepruned_20.pth,3,7,mb21a45,160,540,18000,0.2,512,102,0.8215686274509804,0.9873611111111111,0.7966013071895425,0.9776388888888888,0.9810457516339869,0.0009722222222222222
gtsrb-sub18-pois-3-t7-mb21a45-th180.h5,best_model_gtsrb-sub18-pois-3-t7-mb21a45-th180.h5.pth,best_model_gtsrb-sub18-pois-3-t7-mb21a45-th180.h5_finepruned_20.pth,3,7,mb21a45,180,540,18000,0.2,512,102,0.9256209150326797,0.02875,0.9188235294117647,0.015277777777777777,0.9801307189542484,0.004166666666666667
gtsrb-sub18-pois-30-t7-mb21a45-th140.h5,best_model_gtsrb-sub18-pois-30-t7-mb21a45-th140.h5.pth,best_model_gtsrb-sub18-pois-30-t7-mb21a45-th140.h5_finepruned_25.pth,30,7,mb21a45,140,5400,18000,0.25,512,128,0.9430065359477124,0.2148611111111111,0.9349019607843138,0.14277777777777778,0.9734640522875817,0.004583333333333333
gtsrb-sub18-pois-30-t7-mb21a45-th160.h5,best_model_gtsrb-sub18-pois-30-t7-mb21a45-th160.h5.pth,best_model_gtsrb-sub18-pois-30-t7-mb21a45-th160.h5_finepruned_25.pth,30,7,mb21a45,160,5400,18000,0.25,512,128,0.9356862745098039,0.67125,0.9248366013071896,0.4697222222222222,0.9734640522875817,0.0020833333333333333
gtsrb-sub18-pois-30-t7-mb21a45-th180.h5,best_model_gtsrb-sub18-pois-30-t7-mb21a45-th180.h5.pth,best_model_gtsrb-sub18-pois-30-t7-mb21a45-th180.h5_finepruned_25.pth,30,7,mb21a45,180,5400,18000,0.25,512,128,0.849281045751634,0.024305555555555556,0.8283660130718954,0.002916666666666667,0.9899346405228758,0.0019444444444444444
gtsrb-sub18-pois-40-t7-mb21a45-th140.h5,best_model_gtsrb-sub18-pois-40-t7-mb21a45-th140.h5.pth,best_model_gtsrb-sub18-pois-40-t7-mb21a45-th140.h5_finepruned_25.pth,40,7,mb21a45,140,7200,18000,0.25,512,128,0.9194771241830065,0.5519444444444445,0.9019607843137255,0.23027777777777778,0.984313725490196,0.017638888888888888
gtsrb-sub18-pois-40-t7-mb21a45-th160.h5,best_model_gtsrb-sub18-pois-40-t7-mb21a45-th160.h5.pth,best_model_gtsrb-sub18-pois-40-t7-mb21a45-th160.h5_finepruned_25.pth,40,7,mb21a45,160,7200,18000,0.25,512,128,0.8911111111111111,0.010416666666666666,0.8813071895424837,0.001388888888888889,0.9645751633986928,0.037083333333333336
gtsrb-sub18-pois-40-t7-mb21a45-th180.h5,best_model_gtsrb-sub18-pois-40-t7-mb21a45-th180.h5.pth,best_model_gtsrb-sub18-pois-40-t7-mb21a45-th180.h5_finepruned_20.pth,40,7,mb21a45,180,7200,18000,0.2,512,102,0.9077124183006536,0.00125,0.9005228758169934,0.0,0.974640522875817,0.0018055555555555555
gtsrb-sub18-pois-5-t7-mb21a45-th140.h5,best_model_gtsrb-sub18-pois-5-t7-mb21a45-th140.h5.pth,best_model_gtsrb-sub18-pois-5-t7-mb21a45-th140.h5_finepruned_25.pth,5,7,mb21a45,140,900,18000,0.25,512,128,0.9616993464052288,0.13652777777777778,0.9583006535947712,0.08666666666666667,0.9831372549019608,0.0009722222222222222
gtsrb-sub18-pois-5-t7-mb21a45-th160.h5,best_model_gtsrb-sub18-pois-5-t7-mb21a45-th160.h5.pth,best_model_gtsrb-sub18-pois-5-t7-mb21a45-th160.h5_finepruned_25.pth,5,7,mb21a45,160,900,18000,0.25,512,128,0.9050980392156863,0.1111111111111111,0.8895424836601307,0.07305555555555555,0.9803921568627451,0.0022222222222222222
gtsrb-sub18-pois-5-t7-mb21a45-th180.h5,best_model_gtsrb-sub18-pois-5-t7-mb21a45-th180.h5.pth,best_model_gtsrb-sub18-pois-5-t7-mb21a45-th180.h5_finepruned_25.pth,5,7,mb21a45,180,900,18000,0.25,512,128,0.962875816993464,0.13194444444444445,0.9588235294117647,0.06569444444444444,0.9797385620915032,0.0008333333333333334
